cleaning,scores,compound,sentiment
Indonesia negara yang pejabatnya terlalu tolol dan skill issue ditengah negara asean imperfect lainnya yang pengen maju perlahan-lahan. pejabatnya cuma murni mau ambil kue aja tanpa dikitpun mikirin long term apapun. presidennya cuma seneng pidato gagah-gagahan depan podium.,"{'neg': 0.093, 'neu': 0.803, 'pos': 0.103, 'compound': -0.1027}",-0.1027,Negative
tipikal org indonesia benci ke pemerintah karna kebetulan lagi ruginya aja. pas ada kerjaan langsung pindah haluan bela pemerintah ekspektasi pengen revolusi prancis tapi SDM-nya.... 58% buzzer influencer mulyono boomer ego satu negara isinya stockholm syndrome semua,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.4588}",-0.4588,Negative
Pemerintah menyiapkan lebih dari Rp700 triliun untuk membangun tanggul laut raksasa 958 km dari Cilegon hingga Gresik. Proyek ini bertujuan melindungi Jakarta dan pesisir utara Jawa dari banjir rob. Bagaimana dana ini akan dijaring dan apa dampak sosial lingkungannya? dwidn ,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.5423}",0.5423,Positive
Menurutnya pemberian izin tambang kepada kampus bisa menjadi cara untuk membungkam suara kritis akademisi terhadap kebijakan pemerintah. ,"{'neg': 0.086, 'neu': 0.827, 'pos': 0.086, 'compound': 0.0}",0.0,Neutral
Innaa Lillaahi.... RAKYAT INDONESIA TETAP HARUS MEMBAYAR MAHAL PARA PARA PEJABAT NEGARA LEWAT PAJAK YANG DIAMBIL NEGARA WALAUPUN PEJABAT NEGARANYA TAK BERGUNA BAGI BANGSA NEGARA &amp; RAKYAT INDONESIA IndonesiaGelap IndonesiaGelap ,"{'neg': 0.101, 'neu': 0.824, 'pos': 0.074, 'compound': -0.0015}",-0.0015,Negative
 Indonesia is full of religious hypocrisy. Don't want to be a full-blown religion state but controls the country like it's dictated by holy scripture. Running the country like it's holy but child-marriage and corruption run rampant. No sense of priorities whatsoever.,"{'neg': 0.084, 'neu': 0.776, 'pos': 0.14, 'compound': 0.5557}",0.5557,Positive
13 milyar dialokasi oleh USAID untuk polio di Papua Aceh dan beberapa provinsi lain ga besar dibandingkan anggaran Indonesia tapi agak pesimis saja tetep Pemerintah kita palingan lebih mending bangun rumah menteri di IKN noh 14 milyar cuman buat satu rumah ,"{'neg': 0.062, 'neu': 0.856, 'pos': 0.082, 'compound': 0.2592}",0.2592,Positive
PeringatanDarurat gua cinta indonesia gua cinta negeri ini beserta masyarakatnya tapi buat apa punya pemerintah yang ga mikirin rakyat? Tolong dibantu kebijakannya untuk jangka panjang. You only had ONE JOB. ,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.9045}",0.9045,Positive
harusnya aku gak tinggal di indonesia makin hari makin kek ANJING!! hidup bukannya memperkaya diri malah sebaliknya memperkaya PEMERINTAH,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Wajib di INDONESIA ! Dalam waktu dekat kita akan mewajibkan semua Perusahaan yang menerima kredit dari Bank Pemerintah Harus menempatkan hasil penjualan ekspornya di bank di Indonesia Ucap Presiden ,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.4926}",0.4926,Positive
Terjawab sudah kenapa JKT48 memilih lagu KuSangatSuka dengan koreografi utama berupa tarian bergerak mundur. Ternyata itu untuk melambangkan demokrasi dan kinerja pemerintah Indonesia yang semakin mundur. Masih menganggap aku cocoklogi? Coba kita bedah lirik lagunya bersama! ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Blok Warim adalah ladang minyak dengan potensi terbesar di Indonesia yang berada di Papua. Luasnya 35 kali wilayah DKI Jakarta. Pemerintah telah melelang Blok Warim tapi masyarakat asli Papua menolaknya. Apa alasan mereka? Sebuah utas ,"{'neg': 0.164, 'neu': 0.836, 'pos': 0.0, 'compound': -0.7543}",-0.7543,Negative
Presidennya jendral. Menhankam Mendagri Menkopolkam ketua badan Sandi dan Siber kepala BIN semuanya jendral. Tapi gak berkutik menghadapi pagar laut ilegal di mulut Jakarta.,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.7096}",-0.7096,Negative
Kerja benar dan pakai hati itu indah. Pemerintah memberikan fasilitas bagi rakyatnya sesuai kondisinya itu juga indah. Tapi sayang yg ini bukan di Indonesia. ----- Kerasa Gempa Prambanan ,"{'neg': 0.079, 'neu': 0.795, 'pos': 0.126, 'compound': 0.2023}",0.2023,Positive
